usnews_cs_rank,school,location,city,state,tie,official_url,cs_department_url,cs_jobs_url,faculty_jobs_url,careers_url,source,source_url,source_file,notes
27,University of California--Irvine,"Irvine, CA",Irvine,CA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
27,University of California--Santa Barbara,"Santa Barbara, CA",Santa Barbara,CA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
27,University of North Carolina--Chapel Hill,"Chapel Hill, NC",Chapel Hill,NC,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
34,Northeastern University,"Boston, MA",Boston,MA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
34,University of Colorado--Boulder,"Boulder, CO",Boulder,CO,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
34,University of Virginia,VA,,VA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
34,Virginia Tech,"Blacksburg, VA",Blacksburg,VA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
38,Ohio State University,"Columbus, OH",Columbus,OH,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
38,Pennsylvania State University--University Park,"University Park, PA",University Park,PA,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
38,Texas A&M University--College Station,"College Station, TX",College Station,TX,true,,,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
