usnews_cs_rank,school,location,city,state,tie,source,source_file
51,University of California--Santa Cruz,"Santa Cruz, CA",Santa Cruz,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
51,University of Florida,"Gainesville, FL",Gainesville,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
51,University of Pittsburgh,"Pittsburgh, PA",Pittsburgh,PA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
56,Michigan State University,"East Lansing, MI",East Lansing,MI,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
56,Tufts University,"Medford, MA",Medford,MA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
56,University of Notre Dame,IN,,IN,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
59,Iowa State University,"Ames, IA",Ames,IA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
59,University of Arizona,"Tucson, AZ",Tucson,AZ,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
59,University of California--Riverside,CA,,CA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
59,University of Illinois Chicago,IL,,IL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
59,University of Rochester,"Rochester, NY",Rochester,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
59,University of Texas--Dallas,"Richardson, TX",Richardson,TX,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
65,George Mason University,"Fairfax, VA",Fairfax,VA,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
65,Toyota Technological Institute at Chicago,IL,,IL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
65,University at Buffalo--SUNY,"Buffalo, NY",Buffalo,NY,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
65,University of Central Florida,FL,,FL,True,U.S. News 2026 Best Computer Science Schools,usnews_index_copy.txt
