usnews_cs_rank,school,location,city,state,tie,official_url,cs_department_url,cs_jobs_url,faculty_jobs_url,careers_url,source,source_url,source_file,notes
15,University of Wisconsin--Madison,"Madison, WI",Madison,WI,true,https://www.wisc.edu/,https://www.cs.wisc.edu/,https://jobs.wisc.edu/jobs/search?category=Faculty,https://jobs.wisc.edu/jobs/search?category=Faculty,https://jobs.wisc.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
19,Harvard University,MA,,MA,true,https://www.harvard.edu/,https://seas.harvard.edu/computer-science,https://seas.harvard.edu/about-us/employment-jobs,,https://hr.harvard.edu/careers,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
19,University of Pennsylvania,"Philadelphia, PA",Philadelphia,PA,true,https://www.upenn.edu/,https://www.cis.upenn.edu/,https://www.cis.upenn.edu/open-faculty-positions/,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
21,Johns Hopkins University,"Baltimore, MD",Baltimore,MD,true,https://www.jhu.edu/,https://www.cs.jhu.edu/,https://www.cs.jhu.edu/about/employment-opportunities/,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
21,University of Chicago,IL,,IL,true,https://www.uchicago.edu/,https://cs.uchicago.edu/,https://cs.uchicago.edu/about/job-openings/,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
21,University of Southern California,CA,,CA,true,https://www.usc.edu/,https://www.cs.usc.edu/,https://www.cs.usc.edu/about/open-faculty-positions/,https://usccareers.usc.edu/category/faculty-jobs/1728-1209/40020/1,https://usccareers.usc.edu/?utm_campaign=Brand&utm_medium=referral&utm_source=USC%20Homepage&utm_term=footer,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
21,Yale University,"New Haven, CT",New Haven,CT,true,https://www.yale.edu/,https://cpsc.yale.edu/,https://your.yale.edu/work-yale/careers,https://academicpositions.yale.edu/,https://your.yale.edu/work-yale/careers,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
25,Duke University,NC,,NC,true,https://duke.edu/,https://www.cs.duke.edu/,,,https://hr.duke.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
25,University of Massachusetts--Amherst,"Amherst, MA",Amherst,MA,true,https://www.umass.edu/,https://www.cics.umass.edu/,https://www.cics.umass.edu/about/employment,https://careers.umass.edu/,https://www.umass.edu/hr/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
27,Brown University,"Providence, RI",Providence,RI,true,https://www.brown.edu/,https://cs.brown.edu/,https://cs.brown.edu/news/2026/06/02/srinath-sridhar-has-been-promoted-to-associate-professor-with-tenure/,https://www.brown.edu/faculty,https://www.brown.edu/careers,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
